How You Like That,BLACKPINK,285,212296,7340320,3.0166666666666666,blackpink in your area,"Seoul, Korea, Republic of",4,band,443371,59627899
Intro,Dreamcatcher,266,19725,317401,1.5166666666666666,k-pop,"Seoul, Korea, Republic of",4,band,121882,11246773
Why Not?,Loona,263,58439,1241097,0,pop,"IJmuiden, Velsen, Noord-Holland, Netherlands",46,solo,285599,17462658
BOCA,Dreamcatcher,225,36436,713747,3.15,k-pop,"Seoul, Korea, Republic of",4,band,121882,11246773
Hi High,Loona,224,54743,684440,3.2666666666666666,bop,"IJmuiden, Velsen, Noord-Holland, Netherlands",46,solo,285599,17462658
Oh My God,(G)I-DLE,219,76073,1033690,3.25,pop,"Seoul, Korea, Republic of",2,band,155305,10036378
LION,(G)I-DLE,209,55189,915504,3.5166666666666666,k-pop,"Seoul, Korea, Republic of",2,band,155305,10036378
Star (Voice English Ver.),Loona,200,23409,403733,0,pop,"IJmuiden, Velsen, Noord-Holland, Netherlands",46,solo,285599,17462658
WANNABE,ITZY,198,108363,2727878,3.183333333333333,k-pop,"Seoul, Korea, Republic of",1,band,159995,12527679
everything i wanted,Billie Eilish,194,356470,4604367,4.083333333333333,pop,"Los Angeles, Los Angeles County, California, United States",19,solo,1023808,82087931
12:00,Loona,190,28618,279505,0,pop,"IJmuiden, Velsen, Noord-Holland, Netherlands",46,solo,285599,17462658
Butterfly,Loona,189,62161,693371,3.95,loona,"IJmuiden, Velsen, Noord-Holland, Netherlands",46,solo,285599,17462658
HIP,MAMAMOO,189,95608,1542815,3.2666666666666666,k-pop,"Seoul, Korea, Republic of",6,band,180285,12251755
So What,Loona,184,66630,1320745,3.3,k-pop,"IJmuiden, Velsen, Noord-Holland, Netherlands",46,solo,285599,17462658
OOPS!,Loona,181,27506,306158,0,pop,"IJmuiden, Velsen, Noord-Holland, Netherlands",46,solo,285599,17462658
Scream,Dreamcatcher,177,47203,819886,3.4,k-pop,"Seoul, Korea, Republic of",4,band,121882,11246773
Psycho,Red Velvet,175,139246,3931591,3.5,k-pop,0,0,0,263515,42577088
Girls,Nature,173,21683,353114,3.5166666666666666,k-pop,0,6,band,67560,1354417
Maria,Hwa Sa,169,86455,1015259,3.3166666666666664,k-pop,"Jeonju, Jeollabuk-do, Korea, Republic of",25,solo,120253,2638252
"소년, 소녀",Loona,159,18064,194805,3.1166666666666667,pop,"IJmuiden, Velsen, Noord-Holland, Netherlands",46,solo,285599,17462658
pporappippam 보라빛 밤,Sunmi,159,62827,931424,3.4333333333333336,korean,"Iksan, Jeollabuk-do, Korea, Republic of",28,solo,162636,7739455
detonate,Charli XCX,157,90945,729558,3.65,electropop,"Cambridge, Cambridgeshire, England, United Kingdom",28,solo,1050461,65619389
Voice,Loona,153,37251,603923,0,pop,"IJmuiden, Velsen, Noord-Holland, Netherlands",46,solo,285599,17462658
Oh (Yes I Am),Loona,152,35296,495072,3.25,k-pop,"IJmuiden, Velsen, Noord-Holland, Netherlands",46,solo,285599,17462658
Colors,Loona,151,28838,295020,4.2,dutch,"IJmuiden, Velsen, Noord-Holland, Netherlands",46,solo,285599,17462658
Tag Me (@Me),Weeekly,149,18869,356505,3.6666666666666665,weeekly,"Seoul, Korea, Republic of",1,band,21517,889195
Maybe,(G)I-DLE,145,21099,233774,3.0166666666666666,k-pop,"Seoul, Korea, Republic of",2,band,155305,10036378
COOL,Weki Meki,142,18779,263548,0,k-pop,"Seoul, Korea, Republic of",3,band,73653,3117682
